input_date,daily_dist_mrv,daily_voyage_time_mrv,daily_speed_mrv,daily_fuel_mrv,num
2021-07-06 06:00:00+00:00,420.0,23.0,18.26,85.9,1
2021-07-07 06:00:00+00:00,460.0,24.0,19.17,93.35,1
2021-07-08 05:00:00+00:00,457.0,23.0,19.87,84.61,1
2021-07-09 05:00:00+00:00,468.0,24.0,19.5,92.41,1
2021-07-10 04:00:00+00:00,447.0,23.0,19.43,85.77,1
2021-07-11 04:00:00+00:00,359.0,24.0,14.96,44.46,1
2021-07-12 04:00:00+00:00,349.0,24.0,14.54,45.84,1
2021-07-13 04:00:00+00:00,208.0,12.1,17.19,28.97,1
2021-07-14 04:00:00+00:00,19.0,1.2,15.83,9.67,1
2021-07-15 04:00:00+00:00,273.0,12.6,21.67,49.76,1
2021-07-16 04:00:00+00:00,345.0,24.0,14.38,36.42,1
2021-07-17 04:00:00+00:00,201.0,13.6,14.78,24.42,1
2021-07-18 04:00:00+00:00,154.0,11.3,13.63,27.58,1
2021-07-19 04:00:00+00:00,274.0,22.0,12.45,35.82,1
2021-07-20 04:00:00+00:00,142.0,12.3,11.54,24.3,1
2021-07-21 04:00:00+00:00,307.0,24.0,12.79,56.89,1
2021-07-22 04:00:00+00:00,51.0,4.8,10.63,15.09,1
2021-07-23 04:00:00+00:00,207.0,11.7,17.69,76.91,1
2021-07-24 04:00:00+00:00,370.0,24.0,15.42,80.75,1
2021-07-25 04:00:00+00:00,135.0,10.9,12.39,30.16,1
2021-07-26 04:00:00+00:00,92.0,7.4,12.43,29.79,1
2021-07-27 04:00:00+00:00,411.0,24.0,17.13,97.2,1
2021-07-28 04:00:00+00:00,391.0,24.0,16.29,99.42,1
2021-07-29 04:00:00+00:00,398.0,24.0,16.58,102.76,1
2021-07-30 05:00:00+00:00,429.0,25.0,17.16,101.45,1
2021-07-31 05:00:00+00:00,405.0,24.0,16.88,97.36,1
2021-08-01 06:00:00+00:00,422.0,25.0,16.88,106.45,1
2021-08-02 06:00:00+00:00,379.0,24.0,15.79,96.66,1
2021-08-03 07:00:00+00:00,419.0,25.0,16.76,102.65,1
2021-08-04 07:00:00+00:00,392.0,24.0,16.33,97.55,1
2021-08-05 08:00:00+00:00,397.0,25.0,15.88,104.48,1
2021-08-06 08:00:00+00:00,343.0,24.0,14.29,103.19,1
2021-08-07 08:00:00+00:00,350.0,24.0,14.58,96.27,1
2021-08-08 08:00:00+00:00,390.0,24.0,16.25,101.19,1
2021-08-09 08:00:00+00:00,435.0,25.0,17.4,109.3,1
